31
image_name  category_label brand price
img/Crocheted_Leaf_Print_Romper/img_00000003.jpg                       48 ClosetBunny 30
img/Crocheted_Leaf_Print_Romper/img_00000007.jpg                       48 ChicBorrow 24
img/Crocheted_Leaf_Print_Romper/img_00000009.jpg                       48 ClosetBunny 30
img/Crocheted_Leaf_Print_Romper/img_00000011.jpg                       48 ChicBorrow 24
img/Crocheted_Leaf_Print_Romper/img_00000012.jpg                       48 ClosetBunny 34
img/Crocheted_Leaf_Print_Romper/img_00000017.jpg                       48 ClosetBunny 30
img/Crocheted_Leaf_Print_Romper/img_00000018.jpg                       48 ClosetBunny 30
img/Crocheted_Leaf_Print_Romper/img_00000021.jpg                       48 ClosetBunny 24
img/Crocheted_Leaf_Print_Romper/img_00000025.jpg                       48 ClosetBunny 25
img/Embroidered-Organza_Yoke_Dress/img_00000001.jpg                    41 LuxeLoop 35
img/Embroidered-Organza_Yoke_Dress/img_00000004.jpg                    41 FashionPulse 49
img/Embroidered-Organza_Yoke_Dress/img_00000005.jpg                    41 LuxeLoop 55
img/Embroidered-Organza_Yoke_Dress/img_00000006.jpg                    41 FashionPulse 45
img/Embroidered-Organza_Yoke_Dress/img_00000007.jpg                    41 FashionPulse 48
img/Embroidered-Organza_Yoke_Dress/img_00000019.jpg                    41 SimplyStyle 48
img/Embroidered-Organza_Yoke_Dress/img_00000021.jpg                    41 LuxeLoop 50
img/Embroidered-Organza_Yoke_Dress/img_00000022.jpg                    41 SimplyStyle 60
img/Embroidered-Organza_Yoke_Dress/img_00000024.jpg                    41 LuxeLoop 48
img/Embroidered-Organza_Yoke_Dress/img_00000025.jpg                    41 LuxeLoop 48
img/Embroidered-Organza_Yoke_Dress/img_00000026.jpg                    41 FashionPulse 48
img/Embroidered-Organza_Yoke_Dress/img_00000027.jpg                    41 FashionPulse 52
img/Embroidered-Organza_Yoke_Dress/img_00000028.jpg                    41 FashionPulse 52
img/Enchanted_Maxi_Dress/img_00000003.jpg                              41 LuxeLoop 55
img/Enchanted_Maxi_Dress/img_00000004.jpg                              41 LuxeLoop 50
img/Enchanted_Maxi_Dress/img_00000009.jpg                              41 LuxeLoop 48
img/Enchanted_Maxi_Dress/img_00000016.jpg                              41 SimplyStyle 49
img/Enchanted_Maxi_Dress/img_00000040.jpg                              41 SimplyStyle 62
img/Enchanted_Maxi_Dress/img_00000046.jpg                              41 SimplyStyle 65
img/Crossback_Surplice_Jumpsuit/img_00000007.jpg                       42 FashionPulse 32
img/Crossback_Surplice_Jumpsuit/img_00000009.jpg                       42 SimplyStyle 30
img/Crossback_Surplice_Jumpsuit/img_00000026.jpg                       42 SimplyStyle 30
